index,Title,Opinion,Place,Gender,Age,Country,Date,Label
1,"""¡Momias, demasiado impresionante!""","""Las momias están en muy buen estado de conservación, más de 30 para ver. La energía del lugar es pesada, de baja vibración. Todo mi grupo quedó negativamente impresionado. Algunas expresiones de las caras son horribles. Esas imágenes como de ZOMBIES quedaron grabadas en lo profundo de las mentes de quienes las vimos, otros de mis acompañantes se tuvieron que salir del museo. Salimos con ganas de vomitar y espantados. Absolutamente no lo recomiendo para menores de edad y personas nerviosas que les genere miedo los muertos, los espantos y los entierros... Pasamos mal el resto del día. Hay cosas más lindas para hacer en Guanajuato y que te quedarán como un lindo recuerdo, como recorrer el centro histórico... Por favor no vayas allá si no quieres dormir con pesadillas por el resto de tus días...""",Museo de las Momias,Male,53,México,22/10/2016,1
2,Comida cara,Tienen carteles con comida cortida de 40 y no te vendían nada el mínimo era 90 y debías pagar agua y sin buen sabor,Mercado Hidalgo,N/I,-1,México,2018,1
3,"""No coman ahí""","""Creo que es muy insalubre, hay basura por todos lados y aunque la comida es rica y barata, creo que se pueden visitar otros restaurantes.""",Mercado Hidalgo,Female,61,México,15/01/2013,1
4,"""Momificado""","""Para mí gusto no vale la pena... tristemente es un gran atractivo pero descuidado, complicado para llegar y caótico... las momias empolvadas y mal tenidas según mi impresión. No recomiendo gastar el tiempo allí habiendo cosas más llamativas. A menos que la administración del lugar mejoren las condiciones.""",Museo de las Momias,Male,38,Colombia,11/05/2017,1
5,"""Incómodo y cero romántico""","""Es un lugar poco interesante y que se conoce en menos de un minuto. La cantidad de gente que lo visita es tanta que lo hacen poco agradable. Lo peor son los vendedores locales que incomodan aconsando a los turistas para contarles la leyenda y sacarles la foto. En resumen, el lugar menos romántico que he visto ¿quién va a querer romancear con una bola de mirones y que te quieran presionar para comprar una foto?""",Callejón del Beso,Female,38,Francia,28/11/2017,1
6,Muy descuidado,"Cierto, es un mercado, pero no por eso hay que dejarlo caer. Es una pieza de valor histórico por el diseño del mismo y el arquitecto que lo imaginó. Está muy maltratado, espero que pronto entre a un programa de conservación que le devuelva el valor que realmente tiene.",Mercado Hidalgo,Male,-1,México,2019,1
7,"""Horrible""","""Creí que era un museo dedicado a momias de otra época, pero son cadáveres casi frescos momificados, honestamente es una visita muy morbosa. No me gustó nada.""",Museo de las Momias,Female,41,México,15/02/2015,1
8,"""Odioso""","""Largas filas para entrar, tickets caros, cobran por las cámaras fotográficas no profesionales y realmente no vale la pena ni el tiempo ni el precio de acceso.""",Museo de las Momias,Male,19,México,03/01/2016,1
9,"""No visitar""","""Es tardado entrar al museo, una vez dentro no es nada interesante, no te explican nada y sólo ves cuerpos deshidratados, no momificados, además es un museo que no pertenece al estado de Guanajuato, así que sí van a Guanajuato gasten para Guanajuato no para terceros, Guanajuato no son sólo momias.""",Museo de las Momias,Male,42,México,25/12/2017,1
10,"""Esperaba más""","""Es un lugar que la verdad, esperas algo mágico. Porque digo esto. Por lo pintoresco y bello que es Guanajuato. Si te sobra tiempo ve. Que no sea prioridad. Un minuto y vámonos.""",Callejón del Beso,Female,45,México,23/06/2016,1
11,"""No es de mi gusto""","""No es un museo histórico, los cuerpos que se exhiben no están contextualizados en su época o en su relevancia social. Su única cualidad es que se momificaron por las condiciones propias del terreno donde fueron sepultados. Para quien le guste el morbo. (lo visité en mi infancia, hace más de 40 años, la aclaración por la fecha de abajo)""",Museo de las Momias,Male,64,México,15/04/2014,1
12,Ir a ver muertos,Esta interesante el hecho de que vas a ver las momias pero si esta muy tetrico el asunto. En lo personal no soy muy fan de ver cadaveres,Museo de las Momias,Female,-1,México,2019,1
13,"""Gran monumento historico, cerrado los dias festivos""","""Que pena que en nuestro país los días festivos en los establecimientos públicos estén cerrados. ¿Como es posible que sabiendo que los turistas son los días que tenemos para visitar museos y otros monumentos, estén cerrados? Viva México""",Alhóndiga,Male,50,México,05/02/2015,1
14,"""No es un imperdible""","""La fila es muy larga esperamos 20 min para hacer el recorrido en 10min, puedes ir para que veas y no te cuenten, la exhibición de los cuerpos esta bien al principio, luego al entrar a las salas siguientes como que quieren dar un aire de tenebroso y ponen figuras extrañas realemente en comparación a otros museos de la misma indole, este carece de seriedad y quieren darle un aire de terror cuando sólo se tratan de cuerpos exhumados porque ya no fueron reclamados, eso si no le quito su válidez que nadie sabe porque los cuerpos quedaron en ese estado deshidratado solo hay teorias y eso es algo que se me hace muy interesante.""",Museo de las Momias,Female,51,Perú,08/09/2015,1
15,"""Mala atención del personal""","""Supuestamente los maestros entran gratis, pero tienes que llevar tu cédula profesional, tu título o en su caso un talón de pago impreso para hacer válido el acceso gratuito, el personal es muy seco, no te orientan mucho sobre el lugar. Buenos murales y las exposiciones son básicas, nada extraordinario.""",Alhóndiga,Male,48,México,12/04/2017,1
16,"""Muy impresionante""","""Las momias se formaron por un proceso natural y hay como 100 momias. Es muy impresionante. A mi no me gustó. Está lleno de gente.""",Museo de las Momias,Female,45,Argentina,29/04/2015,1
17,"""Lugar pobre y con fines comerciales exclusivamente""","""¿Cuál es el valor de engañar al visitante con una visita a momias? Si lo que ve son cadáveres. NO VAYAN ES UNA ESTAFA.""",Museo de las Momias,Female,44,Argentina,12/02/2017,1
18,"""No me gustó""","""No vayan. No vale la pena desperdiciar el tiempo en este museo. Guanajuato tiene lugares mucho más bellos para disfrutar.""",Museo de las Momias,Male,39,Argentina,11/07/2016,1
19,"""Buff""","""Mal gusto. Un país que honra tanto a sus muertos debería buscarles un lugar tranquilo de descanso y no exponerlos como si fueran animales. Lugar curioso pero muy doloroso. Tenéis maravillas muy grandes en Guanajuato, pero esto no lo es.""",Museo de las Momias,Female,29,España,13/01/2018,1
20,"""Pésimo el tour""","""Los chicos que organizaron la callejoneada nos abandonaron literalmente y sólo tocaron 6 piezas y un chico se quedó a decir una historia absurda.""",Callejón del Beso,Female,44,México,03/01/2017,1
21,"""Cero recomendable""","""Si quieres entrar a una sala llena, cero organizada, con cero historia, con cero respeto de mostrar cadáveres de todas los tipos y formas, este es el lugar indicado. Me arrepiento del tiempo y dinero invertido en esto.""",Museo de las Momias,Male,30,Chile,18/06/2017,1
